instance,ortools_mean,policy_mean,optimal_mean,ortools_std,policy_std,optimal_std,ortools_on_original,policy_on_original,ortools_300s_optimal_rate
ft06,69.3,80.1,61.0,9.121951545584968,15.082771628583389,8.414273587185052,55,86.0,1.0
la01,890.5,949.2,807.1,95.86683472400662,130.67654724547936,121.04747002725831,666,808.0,1.0
la06,1189.1,1228.2,1055.9,139.39616207055343,211.28265428094187,143.62203869880136,926,1050.0,1.0
la11,1503.7,1468.6,1311.8,132.8209697299338,144.02999687565088,184.06346731494548,1222,1321.0,1.0
la21,1448.0,1659.4,1132.7,105.48744001064772,80.95084928522985,78.59777350536082,1046,1438.0,1.0
la31,2454.6,2466.4,2049.8,117.1965869810209,204.28617182765944,191.4485831757446,1784,2172.0,1.0
la36,1829.7,1935.3,1404.6,104.93050080886873,106.77738524612785,49.4796928042202,1268,1912.0,1.0
orb01,1430.9,1533.3,1070.7,75.78713611161199,155.4059522669579,69.00731845246561,1059,1362.0,1.0
yn1,1288.6,1474.7,977.1,50.8865404601256,85.48456000939584,28.85290280023832,898,1271.0,0.3
swv01,1963.8,2225.3,1535.3,173.81587959677333,240.78457176488695,182.62039864155372,1429,1901.0,0.7
swv06,2474.4,2776.5,1831.8,62.89069883536039,191.34902665025498,75.67800208779299,1712,2298.0,0.1
swv11,4291.1,4778.7,3237.5,162.38007882742266,186.6697886643685,135.65415585229962,3207,4595.0,0.1
swv12,4543.9,4957.8,3431.4,193.57450761915942,255.55109078225433,166.6926513077286,3237,4566.0,0.3
swv13,4614.1,5019.8,3595.2,130.06340761336372,221.5065687513578,244.26002538278752,3277,4718.0,0.5
swv14,4300.2,4818.2,3159.3,115.41039814505451,247.94346129712716,140.01146381636042,3142,4779.0,0.3
swv15,4117.3,4755.8,3134.2,119.25355340617739,212.09611028965145,113.20759691822806,3047,4665.0,0.4
