instance,ortools_mean,policy_mean,optimal_mean,ortools_std,policy_std,optimal_std,ortools_on_original,policy_on_original,ortools_300s_optimal_rate
ft06,69.3,76.5,61.0,9.121951545584968,14.650938536489736,8.414273587185052,55,62.0,1.0
la01,890.5,938.0,807.1,95.86683472400662,137.1079866382699,121.04747002725831,666,746.0,1.0
la06,1189.1,1083.3,1055.9,139.39616207055343,156.19030059513938,143.62203869880136,926,1007.0,1.0
la11,1503.7,1402.4,1311.8,132.8209697299338,141.45331385301654,184.06346731494548,1222,1230.0,1.0
la21,1448.0,1505.1,1132.7,105.48744001064772,123.85753913266645,78.59777350536082,1046,1267.0,1.0
la31,2454.6,2247.7,2049.8,117.1965869810209,170.00179410817992,191.4485831757446,1784,1931.0,1.0
la36,1829.7,1778.9,1404.6,104.93050080886873,76.09264090567497,49.4796928042202,1268,1532.0,1.0
orb01,1430.9,1514.3,1070.7,75.78713611161199,138.7638641721972,69.00731845246561,1059,1278.0,1.0
yn1,1288.6,1317.7,977.1,50.8865404601256,66.07276292088896,28.85290280023832,898,1128.0,0.3
swv01,1963.8,2190.2,1535.3,173.81587959677333,195.7083544460992,182.62039864155372,1429,2098.0,0.7
swv06,2474.4,2755.2,1831.8,62.89069883536039,111.12857418324056,75.67800208779299,1712,2270.0,0.1
swv11,4291.1,4736.4,3237.5,162.38007882742266,186.71218492642626,135.65415585229962,3207,4519.0,0.1
swv12,4543.9,4996.8,3431.4,193.57450761915942,255.67667081687372,166.6926513077286,3237,4783.0,0.3
swv13,4614.1,5210.2,3595.2,130.06340761336372,272.30416816494017,244.26002538278752,3277,4818.0,0.5
swv14,4300.2,4859.7,3159.3,115.41039814505451,245.70227919170796,140.01146381636042,3142,4524.0,0.3
swv15,4117.3,4954.3,3134.2,119.25355340617739,152.4008202077666,113.20759691822806,3047,4907.0,0.4
