instance,ortools_mean,policy_mean,optimal_mean,ortools_std,policy_std,optimal_std,ortools_on_original,policy_on_original,ortools_300s_optimal_rate
ft06,69.3,82.8,61.0,9.121951545584968,16.04867595784774,8.414273587185052,55,69.0,1.0
la01,890.5,880.5,807.1,95.86683472400662,86.20701827577614,121.04747002725831,666,748.0,1.0
la06,1189.1,1109.6,1055.9,139.39616207055343,171.94894591127914,143.62203869880136,926,962.0,1.0
la11,1503.7,1386.3,1311.8,132.8209697299338,162.68315831701815,184.06346731494548,1222,1222.0,1.0
la21,1448.0,1454.9,1132.7,105.48744001064772,139.55031350735118,78.59777350536082,1046,1241.0,1.0
la31,2454.6,2288.4,2049.8,117.1965869810209,171.95476149266702,191.4485831757446,1784,2014.0,1.0
la36,1829.7,1772.5,1404.6,104.93050080886873,111.29802334273506,49.4796928042202,1268,1492.0,1.0
orb01,1430.9,1459.6,1070.7,75.78713611161199,112.3389513926492,69.00731845246561,1059,1335.0,1.0
yn1,1288.6,1298.8,977.1,50.8865404601256,78.70044472555412,28.85290280023832,898,1161.0,0.3
swv01,1963.8,2293.6,1535.3,173.81587959677333,186.83693425016372,182.62039864155372,1429,2038.0,0.7
swv06,2474.4,2715.3,1831.8,62.89069883536039,88.7299836582877,75.67800208779299,1712,2445.0,0.1
