,"(20, 20)","(30, 20)","(50, 10)"
0,4447.0,4503.0,4509.0
1,4785.0,4708.0,4686.0
2,4775.0,4777.0,4873.0
3,4664.0,4636.0,4572.0
4,4822.0,4867.0,4766.0
5,2924.0,2925.0,2924.0
6,2827.0,2812.0,2940.0
7,2949.0,2946.0,2938.0
8,3113.0,3207.0,3238.0
9,2860.0,2858.0,2905.0
